127.0.0.1 - - [21/Mar/2014:09:20:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/index.jsp HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/css/stylish-portfolio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/SoftwareBuilding.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/MainBuilding2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/callout.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [21/Mar/2014:09:22:04 +0800] "GET /ICOFSOFTWARE/NewsHome/img/HIT-MainBuilding.jpg HTTP/1.1" 304 -
192.168.5.210 - - [21/Mar/2014:09:23:22 +0800] "GET /ICOFSOFTWARE/NewsHome/index.jsp HTTP/1.1" 200 12179
192.168.5.210 - - [21/Mar/2014:09:23:23 +0800] "GET /ICOFSOFTWARE/NewsHome/css/bootstrap.css HTTP/1.1" 200 123072
192.168.5.210 - - [21/Mar/2014:09:23:25 +0800] "GET /ICOFSOFTWARE/NewsHome/css/stylish-portfolio.css HTTP/1.1" 200 3655
192.168.5.210 - - [21/Mar/2014:09:23:38 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 17780
192.168.5.217 - - [21/Mar/2014:09:23:40 +0800] "GET / HTTP/1.1" 404 951
192.168.5.210 - - [21/Mar/2014:09:23:40 +0800] "GET /ICOFSOFTWARE/NewsHome/js/bootstrap.js HTTP/1.1" 200 55244
192.168.5.210 - - [21/Mar/2014:09:23:40 +0800] "GET /ICOFSOFTWARE/NewsHome/js/jquery-1.10.2.js HTTP/1.1" 200 93104
192.168.5.210 - - [21/Mar/2014:09:23:43 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
192.168.5.210 - - [21/Mar/2014:09:23:46 +0800] "GET /ICOFSOFTWARE/NewsHome/img/SoftwareBuilding.jpeg HTTP/1.1" 200 65536
192.168.5.210 - - [21/Mar/2014:09:23:46 +0800] "GET /ICOFSOFTWARE/NewsHome/img/MainBuilding2.jpg HTTP/1.1" 200 76042
192.168.5.210 - - [21/Mar/2014:09:23:46 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader.jpg HTTP/1.1" 200 32768
192.168.5.210 - - [21/Mar/2014:09:23:49 +0800] "GET /ICOFSOFTWARE/NewsHome/img/callout.jpg HTTP/1.1" 200 146329
192.168.5.217 - - [21/Mar/2014:09:23:51 +0800] "GET /Theme HTTP/1.1" 404 961
192.168.5.210 - - [21/Mar/2014:09:23:52 +0800] "GET /ICOFSOFTWARE/NewsHome/img/HIT-MainBuilding.jpg HTTP/1.1" 200 304800
192.168.5.217 - - [21/Mar/2014:09:23:57 +0800] "GET /favicon.ico HTTP/1.1" 404 973
192.168.5.210 - - [21/Mar/2014:09:23:57 +0800] "GET /ICOFSOFTWARE/NewsHome/img/Leader2.jpg HTTP/1.1" 200 753664
192.168.5.217 - - [21/Mar/2014:09:24:00 +0800] "GET / HTTP/1.1" 404 951
192.168.5.217 - - [21/Mar/2014:09:24:04 +0800] "GET /Theme/NewsHome/index.jsp HTTP/1.1" 404 999
192.168.5.217 - - [21/Mar/2014:09:24:37 +0800] "GET /ICOFSOFTWARE/NewsHome/index.jsp HTTP/1.1" 200 12179
192.168.5.217 - - [21/Mar/2014:09:24:37 +0800] "GET /ICOFSOFTWARE/NewsHome/css/bootstrap.css HTTP/1.1" 200 123072
192.168.5.217 - - [21/Mar/2014:09:24:37 +0800] "GET /ICOFSOFTWARE/NewsHome/css/stylish-portfolio.css HTTP/1.1" 200 3655
192.168.5.217 - - [21/Mar/2014:09:24:38 +0800] "GET /ICOFSOFTWARE/NewsHome/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 17780
192.168.5.217 - - [21/Mar/2014:09:24:38 +0800] "GET /ICOFSOFTWARE/NewsHome/img/SoftwareBuilding.jpeg HTTP/1.1" 200 65536
192.168.5.217 - - [21/Mar/2014:09:24:38 +0800] "GET /ICOFSOFTWARE/NewsHome/img/MainBuilding2.jpg HTTP/1.1" 200 76042
